restaurant_name,googlemap_name,address,rating,review_count,price,category,image
吉祥餐厅 길상양꼬치 신촌,吉祥餐厅 길상양꼬치,서대문구 연세로5가길 17호 KR,4.3,141.0,"₩30,000~40,000",양고기 바베큐 전문점,https://lh5.googleusercontent.com/p/AF1QipMcyJMimcQI7oA8ehoMC9PzuTBZhoGxPWZjm9cU=w408-h306-k-no
리틀쿠바 신촌,리틀쿠바,서울특별시 서대문구 창천동 33-5 2 층,4.5,26.0,,아메리칸 레스토랑,https://lh5.googleusercontent.com/p/AF1QipPkpyh9_D2ErDtt-PcUdKqVhwHNfNr8nSzQw21y=w408-h408-k-no
청화원 신촌,청화원,서울특별시 서대문구 창천동 18-1번지 1층,4.1,326.0,"₩10,000~20,000",중국 국수류 전문점,https://lh5.googleusercontent.com/p/AF1QipPv66xZlkLpE3xPYNsfihlWQ3KC6J-AZ3gZCl-k=w408-h306-k-no
미분당 신촌본점,미분당 신촌본점,서울특별시 서대문구 연세로5길 26-7,4.5,375.0,"₩10,000~20,000",베트남 음식점,https://lh5.googleusercontent.com/p/AF1QipPRo8jylwfQFLqj0S9f6MzcQaXRfKWoRVrgwkw6=w408-h544-k-no
통통돼지 신촌,통통돼지,서울특별시 서대문구 연세로4길 19,4.3,124.0,"₩30,000~40,000",삼겹살 전문점,https://lh5.googleusercontent.com/p/AF1QipNpuTi2-IfflnBsf0RCCooFPjwfVk-k23jzSAg=w532-h240-k-no
더파이홀 신촌,더파이홀,서울특별시 서대문구 창천동 57-61,4.5,457.0,"₩10,000~20,000",파이 전문점,https://lh5.googleusercontent.com/p/AF1QipNMADl88tBnCkjef6yFOB3URmPMwiOx7vJs27jm=w408-h306-k-no
죠티인도 레스토랑 신촌점,죠티인도 레스토랑 신촌점,서울특별시 마포구 신촌로20길 6 3층,4.4,879.0,"₩10,000~20,000",인도 레스토랑,https://lh5.googleusercontent.com/p/AF1QipOhvgaYy9fFNo-V-idtNeAPuXxdZCiDNjLg4i-J=w408-h544-k-no
무사시 신촌,무사시,서울특별시 서대문구 창천동 20-99,4.1,122.0,"₩10,000~20,000",일본 음식점,https://lh5.googleusercontent.com/p/AF1QipNyYcG_qhwxoHm-1xAbWYAETs2QRxOJ6Cpsnsn-=w426-h240-k-no
미도인 신촌,미도인 신촌,서울특별시 서대문구 명물길 33,4.3,87.0,"₩10,000~20,000",일본 스테이크 전문점,https://lh5.googleusercontent.com/p/AF1QipMKHSNYnZd2RTt4uycXqdHn1Yj_Nc5lwlYaJib2=w408-h306-k-no
기꾸스시 신촌,기꾸스시,서울특별시 서대문구 연세로5다길 35,4.2,383.0,"₩10,000~20,000",스시/초밥집,https://lh5.googleusercontent.com/p/AF1QipNkyzgsvOb8KKpZg9yQ_heHq1KpS5wHf69YGkqi=w408-h306-k-no
설레임삼겹살 신촌,설레임삼겹살,서울특별시 서대문구 연세로5가길 31,4.2,143.0,"₩10,000~20,000",한식 고기구이 레스토랑,https://lh5.googleusercontent.com/p/AF1QipNTgVIr32uVcYcoehMFOzo_9D0rVe5A3wgxr_bn=w408-h298-k-no
보울룸 신촌점,보울룸 신촌점,서울특별시 서대문구 신촌동 연세로 13,4.1,23.0,"₩10,000~20,000",포케 바,https://lh5.googleusercontent.com/p/AF1QipNK8L-culqhucQ2Nf7rSUSlzOi6V6OKfct_088z=w408-h306-k-no
야바이 신촌,야바이,서울 서대문구 연세로7안길 37,4.0,355.0,"₩10,000~20,000",오코노미야끼 전문식당,https://lh5.googleusercontent.com/p/AF1QipOcn9NnFtZp2i5setiOVKoRlLO9YCiC8ECH-9I=w408-h306-k-no
타코로코 신촌,타코로코,서울특별시 서대문구 연세로7안길 37,4.5,263.0,"₩10,000~20,000",멕시코 음식점,https://lh5.googleusercontent.com/p/AF1QipOK54nwXXedXQOAqsSKADYs9zrGvXL-LtAXEyBV=w408-h272-k-no
여우골 초밥 신촌,여우골 초밥,서울특별시 서대문구 신촌동 연세로5다길 10,4.2,810.0,"₩10,000~20,000",스시/초밥집,https://lh5.googleusercontent.com/p/AF1QipMUlGbA3DtM3P5vkiNT-uEqfrJeY5ukPEEXCg0r=w426-h240-k-no
신촌부추곱창 신촌본점,신촌부추곱창 신촌본점,서울 서대문구 연세로5나길 30-16 1층,4.4,192.0,"₩30,000~40,000",곱창구이 전문점,https://lh5.googleusercontent.com/p/AF1QipOS_O1VbDlKBp7bScPHj2jZvwC4bfRI5MWTFF_O=w493-h240-k-no
